Freebase Player Key	Player Name	Freebase Nationality Key	Nationality	Freebase relation
 	VÃ­ctor SÃ¡nchez	m.06mkj	Spain	people.person.nationality
 	Can Arat	m.01znc_	Turkey	people.person.nationality
 	Yuzuru Okuyama	m.03_3d	Japan	people.person.nationality
 	Torsten Holm	m.0345h	Germany	people.person.nationality
 	Stefan BartholomÃ¤	m.0345h	Germany	people.person.nationality
 	Andy Thomson	m.06q1r	Scotland	people.person.nationality
 	Stefan Kohn	m.0345h	Germany	people.person.nationality
 	Sergey Osipov	m.06bnz	Russia	people.person.nationality
 	Theodore Whitmore	m.03_r3	Jamaica	people.person.nationality
 	Samel Sabanovic	m.06mzp	Switzerland	people.person.nationality
 	Vito Raimondi	m.03rjj	Italy	people.person.nationality
 	Eric Gianonatti	m.0345h	Germany	people.person.nationality
 	Sven Stenger	m.0345h	Germany	people.person.nationality
 	Sebastian Gau	m.0345h	Germany	people.person.nationality
 	Badr Hamdouchi	m.0345h	Germany	people.person.nationality
 	Andy John	m.0345h	Germany	people.person.nationality
 	Aleksandr Mostovoy	m.06bnz	Russia	people.person.nationality
 	Sylvain Legwinski	m.0f8l9c	France	people.person.nationality
 	Florian Ludewig	m.0345h	Germany	people.person.nationality
 	Kristian Schmidt	m.0345h	Germany	people.person.nationality
 	Adam Hering	m.05qhw	Poland	people.person.nationality
 	Pierre-Alain Frau	m.0f8l9c	France	people.person.nationality
 	Sebastian Holzer	m.0345h	Germany	people.person.nationality
 	Diego	m.015fr	Brazil	people.person.nationality
 	Raffaele Rubino	m.03rjj	Italy	people.person.nationality
 	Mark McGregor	m.02jx1	England	people.person.nationality
 	Oliver SchrÃ¶der	m.0345h	Germany	people.person.nationality
 	Armin Azadan	m.0345h	Germany	people.person.nationality
 	Thomas Syperrek	m.0345h	Germany	people.person.nationality
 	Michael Assmann	m.0345h	Germany	people.person.nationality
 	Conor Casey	m.09c7w0	United States of America	people.person.nationality
 	Lewis Neal	m.02jx1	England	people.person.nationality
 	Ingo Hertzsch	m.0345h	Germany	people.person.nationality
 	Ehsan Chattrus	m.0345h	Germany	people.person.nationality
 	Lamont Sandiford	m.0345h	Germany	people.person.nationality
 	Valerian Zirakadze	m.0d0kn	Georgia	people.person.nationality
 	Matthias Dollinger	m.0h7x	Austria	people.person.nationality
 	Areias	m.05r4w	Portugal	people.person.nationality
 	Dino Baggio	m.03rjj	Italy	people.person.nationality
 	Michael Wojtanowicz	m.0h7x	Austria	people.person.nationality
 	Knut Hartwig	m.0345h	Germany	people.person.nationality
 	Lars Lochasz	m.0345h	Germany	people.person.nationality
 	Jason Wilcox	m.02jx1	England	people.person.nationality
 	Brian Cash	m.03rt9	Ireland	people.person.nationality
 	Andreas Beckmann	m.0345h	Germany	people.person.nationality
 	Miroslav Bicanic	m.01pj7	Croatia	people.person.nationality
 	Marcus Fischer	m.0345h	Germany	people.person.nationality
 	Laurent Zapico	m.06mzp	Switzerland	people.person.nationality
 	Dario Baccin	m.03rjj	Italy	people.person.nationality
 	Ãœmit Atalay	m.01znc_	Turkey	people.person.nationality
 	Kofi Amponsah	m.035dk	Ghana	people.person.nationality
 	Gary Breen	m.03rt9	Ireland	people.person.nationality
 	Hendryk Lau	m.0345h	Germany	people.person.nationality
 	Niklas Hoffmann	m.0345h	Germany	people.person.nationality
 	John Hills	m.02jx1	England	people.person.nationality
 	Wilfried Delbroek	m.0154j	Belgium	people.person.nationality
 	Nathan Abbey	m.02jx1	England	people.person.nationality
 	Pascal Cerrone	m.06mzp	Switzerland	people.person.nationality
 	Roland Gisinger	m.0345h	Germany	people.person.nationality
 	Earnie Stewart	m.09c7w0	United States of America	people.person.nationality
 	Bobby Olejnik	m.0h7x	Austria	people.person.nationality
 	Luc Ndjock	m.0345h	Germany	people.person.nationality
 	Michael RÃ¶sele	m.0345h	Germany	people.person.nationality
 	Andrew Sarfo	m.0345h	Germany	people.person.nationality
 	Daniel Geiger	m.0345h	Germany	people.person.nationality
 	Levan Kobiashvili	m.0d0kn	Georgia	people.person.nationality
 	Eduardo Tuzzio	m.0jgd	Argentina	people.person.nationality
 	Amir Karic	m.06t8v	Slovenia	people.person.nationality
 	Peter Hansen	m.0k6nt	Denmark	people.person.nationality
 	Marcin Cebula	m.05qhw	Poland	people.person.nationality
 	Ritchie Partridge	m.03rt9	Ireland	people.person.nationality
 	Ablade Morgan	m.035dk	Ghana	people.person.nationality
 	Pascal Castillo	m.06mzp	Switzerland	people.person.nationality
 	Emmanuel Petit	m.0f8l9c	France	people.person.nationality
 	Stuart McCluskey	m.06q1r	Scotland	people.person.nationality
 	Danny	m.05r4w	Portugal	people.person.nationality
 	Andreas Kuhn	m.0345h	Germany	people.person.nationality
 	Antonis Natsouras	m.035qy	Greece	people.person.nationality
 	Thomas KrÃ¼ger	m.0345h	Germany	people.person.nationality
 	EdmÃ­lson	m.015fr	Brazil	people.person.nationality
 	Sammy van den Bossche	m.0154j	Belgium	people.person.nationality
 	Thomas Ambrosius	m.0k6nt	Denmark	people.person.nationality
 	Rocco Milde	m.0345h	Germany	people.person.nationality
 	Stefanos Voskaridis	m.01ppq	Cyprus	people.person.nationality
 	Winston Parks	m.01p8s	Costa Rica	people.person.nationality
 	Stephen Laybutt	m.0chghy	Australia	people.person.nationality
 	Karsten Imort	m.0345h	Germany	people.person.nationality
 	Bittor Alkiza	m.06mkj	Spain	people.person.nationality
 	Michael Franz	m.0345h	Germany	people.person.nationality
 	Bastian Becker	m.0345h	Germany	people.person.nationality
 	Yasin Karaca	m.01znc_	Turkey	people.person.nationality
 	Michael Rentmeister	m.0345h	Germany	people.person.nationality
 	Matthias Haubert	m.0345h	Germany	people.person.nationality
 	Stefan Oswald	m.0345h	Germany	people.person.nationality
 	FuÃŸballgott	m.05br2	Nauru	people.person.nationality
 	Sebastian Popp	m.0345h	Germany	people.person.nationality
 	David Bergner	m.0345h	Germany	people.person.nationality
 	Marjan Petkovic	m.0345h	Germany	people.person.nationality
 	Miroslaw Giruc	m.05qhw	Poland	people.person.nationality
 	Matthias Keller	m.0345h	Germany	people.person.nationality
 	Ryan Robinson	m.02jx1	England	people.person.nationality
 	Chris Brown	m.02jx1	England	people.person.nationality
 	Tomasz Szewczuk	m.05qhw	Poland	people.person.nationality
 	Paul Agostino	m.0chghy	Australia	people.person.nationality
 	Denis Boshnjaku	m.0jdx	Albania	people.person.nationality
 	MacBeth Sibaya	m.0hzlz	South Africa	people.person.nationality
 	Sergiy Zhdanov	m.07t21	Ukraine	people.person.nationality
 	Oliver Neuville	m.0345h	Germany	people.person.nationality
 	Neil McGregor	m.06q1r	Scotland	people.person.nationality
 	Dean Marney	m.02jx1	England	people.person.nationality
 	Olivier Tebily	 	Cote d'Ivoire	people.person.nationality
 	BjÃ¶rn Terodde	m.0345h	Germany	people.person.nationality
 	GrÃ©gory Bourillon	m.0f8l9c	France	people.person.nationality
 	Sven Gemeiner	m.0345h	Germany	people.person.nationality
 	Sebastian Hartung	m.0345h	Germany	people.person.nationality
 	Udo Schmitt	m.0345h	Germany	people.person.nationality
 	Danijel Stefulj	m.01pj7	Croatia	people.person.nationality
 	Joseph Fameyeh	m.035dk	Ghana	people.person.nationality
 	Rui Borges	m.05r4w	Portugal	people.person.nationality
 	Carsten SchÃ¶nefeld	m.0345h	Germany	people.person.nationality
 	Gary Kelly	m.03rt9	Ireland	people.person.nationality
 	Ian Joy	m.09c7w0	United States of America	people.person.nationality
 	Tobias Arndt	m.0345h	Germany	people.person.nationality
 	Lee Cartwright	m.02jx1	England	people.person.nationality
 	Stephen Warnock	m.02jx1	England	people.person.nationality
 	Sofian Chahed	m.07fj_	Tunisia	people.person.nationality
 	Ali Ravci	m.01znc_	Turkey	people.person.nationality
 	JosÃ© Veiga	m.01nqj	Cape Verde	people.person.nationality
 	Alioum Boukar	m.01nln	Cameroon	people.person.nationality
 	Paul Talbot	m.06q1r	Scotland	people.person.nationality
 	Mesut Ã–zkaya	m.01znc_	Turkey	people.person.nationality
 	Lee Roche	m.02jx1	England	people.person.nationality
 	Lars Jacobsen	m.0k6nt	Denmark	people.person.nationality
 	Issa Issa	m.04hqz	Lebanon	people.person.nationality
 	Juan Carlos Menseguez	m.0jgd	Argentina	people.person.nationality
 	Albert Jorquera	m.06mkj	Spain	people.person.nationality
 	Marco Reich	m.0345h	Germany	people.person.nationality
 	Steffen Ziffert	m.0345h	Germany	people.person.nationality
 	Eduard Tropmann	m.0345h	Germany	people.person.nationality
 	Ahmed AÃ¯t Ouarab	m.0f8l9c	France	people.person.nationality
