Freebase Player Key	Player Name	Freebase Nationality Key	Nationality	Freebase relation
m.0pcth6t	Reis	m.04g61	Luxembourg	people.person.nationality
m.07k8zv8	Aldo Boffi	m.03rjj	Italy	people.person.nationality
m.04f08hm	Mikhail An	m.07t_x	Uzbekistan	people.person.nationality
m.04y92fy	Jack Hall	m.03rt9	Ireland	people.person.nationality
m.0bs84nl	Pietro Grosso	m.03rjj	Italy	people.person.nationality
m.0bs6tkm	Raoul Bortoletto	m.03rjj	Italy	people.person.nationality
m.0ds4lln	Bill	m.03rt9	Ireland	people.person.nationality
m.02qyx25	Noel Mitten	m.03rt9	Ireland	people.person.nationality
m.0cx3km	Srboljub Stamenković	m.077qn	Serbia	people.person.nationality
m.0b77m31	Fernando Viola	m.03rjj	Italy	people.person.nationality
m.05hf82	Andy Watson	m.06q1r	Scotland	people.person.nationality
m.02rq0vc	Władysław Gędłek	m.05qhw	Poland	people.person.nationality
m.06wbn91	Kim Splidsboel	m.0k6nt	Denmark	people.person.nationality
m.0b76gpq	Aredio Gimona	m.03rjj	Italy	people.person.nationality
m.0c02y9t	Giorgio Rognoni	m.03rjj	Italy	people.person.nationality
m.063yk5t	József Mészáros	m.03gj2	Hungary	people.person.nationality
m.07s5fvl	Jaroslav Vejvoda	m.01mjq	Czech Republic	people.person.nationality
m.0j3zyzb	Jude Saint-Val	m.02phy_9	Collectivity of Saint Martin	people.person.nationality
m.0j3zyz1	Henri Emile	m.02phy_9	Collectivity of Saint Martin	people.person.nationality
m.0f4d1t	Anton Malatinský	m.06npd	Slovakia	people.person.nationality
m.09gd5ns	Jorma Vaihela	m.02vzc	Finland	people.person.nationality
m.0b75ktb	Giorgio Stivanello	m.03rjj	Italy	people.person.nationality
m.027_m5d	Bobby Irvine	m.05bcl	Northern Ireland	people.person.nationality
m.063ywfg	Adriano Bassetto	m.03rjj	Italy	people.person.nationality
m.02r660c	Vladimír Bouzek	m.01mjq	Czech Republic	people.person.nationality
m.04n3dgt	Liam Hennessy	m.03rt9	Ireland	people.person.nationality
m.09gh38r	Adam Black	m.06q1r	Scotland	people.person.nationality
m.07s5gnx	Maurice McVeigh	m.05bcl	Northern Ireland	people.person.nationality
m.03c58r4	Harry Morton	m.0ctw_b	New Zealand	people.person.nationality
m.04yctzf	Vladimir Markov	m.077qn	Serbia	people.person.nationality
